tk_label_run1,tk_conf_run1,tk_evidence_run1,tk_rationale_run1,tk_label_run2,tk_conf_run2,tk_evidence_run2,tk_rationale_run2,tk_label_run3,tk_conf_run3,tk_evidence_run3,tk_rationale_run3,tk_label_run4,tk_conf_run4,tk_evidence_run4,tk_rationale_run4,job_id
1,75,Collaborate with business stakeholders to confirm use cases,"The role involves collaboration with stakeholders and applying business requirements, which requires some institutional judgment. However, the tasks are largely structured around defined processes and methodologies, such as regulatory reporting and data reconciliation. A strong junior with guidance could eventually manage these responsibilities. Dominant: Technical (local tools). Also present: Social (stakeholder collaboration). Absent: Cognitive.",1,76,"Collaborate with business stakeholders to confirm use cases, business logic","The role involves some level of institutional judgment in solution design and collaboration with stakeholders, but it is within the context of specific regulatory frameworks and business logic, indicating a structured workflow. A strong junior could develop into the role with experience and guidance. Dominant: Technical (local tools and frameworks). Also present: Social (stakeholder collaboration). Absent: Cognitive (institutional strategy).",2,89,Experience with Regulatory Reporting implementation within Axiom,"The role requires deep domain expertise in regulatory reporting and financial products, which cannot be fully captured in a manual. The need to liaise confidently with senior stakeholders and make decisions in a fast-paced environment indicates a high level of cognitive and social tacit knowledge. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",1,82,"Collaborate with business stakeholders to confirm use cases, business logic","The role involves mapping reporting requirements and collaborating with stakeholders, which requires some experience-based judgment. However, the tasks are largely procedural and can be learned with mentoring over time. Dominant: Technical (local tools). Also present: Social (stakeholder collaboration). Absent: Cognitive.",3869026050
1,80,"developing cost/price models, summarizing financials, supporting strategic pricing discussions","The role involves developing pricing models and supporting strategic discussions, which require some institutional judgment but are bounded by RFP and policy compliance. A strong junior could grow into this role with guidance. Dominant: Technical (pricing models). Also present: Social (internal relationships). Absent: Cognitive.",1,82,"developing cost/price models, supporting strategic pricing discussions","The role requires developing cost/price models and supporting strategic pricing, which involves some institutional judgment but is structured within compliance frameworks like RFP requirements and FAR. A strong junior with guidance could eventually manage these tasks. Dominant: Technical (local tasks). Also present: Social (internal relationships). Absent: Cognitive (no high-level strategic influence indicated).",1,75,"Build, maintain, & run standard pricing/financial models","The role involves building and maintaining pricing models, which can be learned with guidance and practice. While it requires some judgment in strategic pricing discussions, the structured nature of RFP compliance and financial modeling suggests a strong junior could grow into the role. Dominant: Technical. Also present: Social (internal relationships), Cognitive (strategic pricing). Absent: none.",1,80,"Build, maintain, & run standard pricing/financial models","The role involves developing and maintaining pricing models, which requires some experience-based judgment, especially in strategic pricing discussions. However, the tasks are largely procedural and bounded by RFP requirements and EY policies, suggesting a strong junior could grow into the role with mentoring. Dominant: Technical (pricing models). Also present: Social (internal relationships). Absent: Cognitive.",3991003358
1,75,coordinates healthcare analytic projects through various stages,"The role involves coordinating analytic projects and acting as a liaison, which requires some institutional judgment and experience. However, the tasks are structured within defined project management methodologies, suggesting that a strong junior could eventually manage with guidance. Dominant: Technical (project management). Also present: Social (liaison role). Absent: Cognitive.",1,76,coordinates healthcare analytic projects through various stages,"The role involves coordinating analytic projects through different phases, indicating a structured workflow within established methodologies. The need to liaise between management and staff, and communicate with external entities, suggests some level of institutional judgment and social interaction. However, the tasks are bounded by formal project management frameworks and do not demonstrate deep institutional judgment or strategy. Dominant: Technical (structured project management). Also presen",1,75,coordinates healthcare analytic projects through various stages including implementation,"The role involves coordinating analytic projects and requires some judgment in project management and communication, which a manual cannot fully cover. However, the tasks are structured within defined methodologies, and a strong junior could grow into the role with guidance. Dominant: Technical. Also present: Social. Absent: Cognitive.",1,75,Coordinates healthcare analytic projects through various stages including implementation,"The role involves coordinating complex projects and requires some experience-based judgment, particularly in managing project timelines and communication with diverse stakeholders. However, the tasks are largely procedural and can be learned with mentoring and training. Dominant: Technical (project management). Also present: Social (stakeholder communication). Absent: Cognitive.",4336122308
1,75,Owning and championing the design and operation of data models,"The role involves designing and operating data models, which requires some institutional judgment and experience, but it is bounded by established data modeling practices and tools. The need for collaboration and communication suggests a social component, but the role does not require navigating high-level strategic ambiguity. Dominant: Technical. Also present: Social. Absent: Cognitive.",1,85,Analyzing and translating business needs into long-term solution data models,"While the role involves significant technical skill in data modeling, it operates within defined standards and best practices, suggesting it is bounded by procedural frameworks. The need for collaboration and optimization indicates some institutional judgment, but not to the extent that it requires a master-level expertise. Dominant: Technical (local tools). Also present: Cognitive (some judgment in optimization). Absent: Deep Social (enterprise-level influence).",1,75,Owning and championing the design and operation of data models,"The role involves designing and operating data models, which requires some institutional judgment and experience, but it is bounded by established data modeling practices and tools. A strong junior with guidance could manage this within a defined framework. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",1,82,Analyzing and translating business needs into long-term solution data models,"The role requires translating business needs into data models, which involves some experience-based judgment beyond procedural tasks. However, the presence of standards and best practices suggests a framework that a junior could learn with mentoring. Dominant: Technical (data modeling). Also present: Cognitive (business needs translation), Social (collaboration). Absent: none.",409288111000000000003
1,82,Translate complex and ambiguous problem statements into actionable solutions,"The role involves translating complex problems into solutions, which requires some level of institutional judgment beyond a manual. However, the focus on designing and maintaining systems and reports suggests a structured workflow within a technical framework. The role involves collaboration and coordination with various teams, indicating a social dimension. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",1,82,translating complex and ambiguous problem statements into actionable solutions,"The role involves designing and optimizing data solutions with a focus on translating ambiguous problem statements into actionable solutions, indicating some institutional judgment. However, the technical tasks are bounded by data analytics frameworks and tools, suggesting that a skilled junior could grow into the role with guidance. Dominant: Technical (local tools). Also present: Cognitive (some institutional judgment), Social (cross-team collaboration). Absent: none.",1,75,Translate complex and ambiguous problem statements into actionable solutions,"The role requires translating complex problems into solutions, which involves some cognitive judgment, but it is bounded by technical tasks like designing and maintaining systems and reports. The role involves collaboration and coordination with cross-functional teams, indicating a social dimension. A strong junior with guidance could manage this role over time. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,87,translating complex and ambiguous problem statements into actionable solutions,"The role requires significant experience-based judgment to translate complex and ambiguous problems into actionable solutions, which cannot be fully captured by documentation. The need to collaborate across global teams and influence senior management decisions further emphasizes the importance of accumulated wisdom. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",4079844910
1,75,Working closely with management to prioritize business and information needs,"The role involves significant data analysis and technical skills, which are codifiable and align with TK-1. While there is some interaction with management, it does not reach the level of navigating C-suite politics or enterprise strategy. The role requires experience but is bounded by technical tools and methodologies. Dominant: Technical. Also present: Social. Absent: Cognitive.",1,75,"Developing and implementing data analyses, data collection systems","The role involves significant technical tasks requiring experience with SAS, R, Python, or Stata, but these are technical-local rather than institutional. The need to analyze and document business requirements and configure applications suggests some institutional judgment, but it is bounded by existing frameworks and methodologies. Dominant: Technical (tool-dependent). Also present: Cognitive (some judgment), Social (collaboration). Absent: Cognitive (big-picture strategy).",1,75,"Developing and implementing data analyses, data collection systems","The role involves technical tasks like data analysis and system configuration, which can be learned with experience and guidance. While it requires some judgment in prioritizing business needs and identifying improvement opportunities, these are within a structured framework. A strong junior could grow into this role with mentoring. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",1,80,Working closely with management to prioritize business and information needs,"The role requires some experience-based judgment in prioritizing business needs and interpreting complex data, but it is still largely bounded by technical skills and procedural tasks. A junior analyst could grow into the role with mentoring over time. Dominant: Technical (data analysis tools). Also present: Cognitive (prioritization), Social (collaboration). Absent: none.",4348483545
0,85,"Assist in collecting, processing, and analyzing large datasets","The role involves following established procedures for data collection and analysis, which are typical tasks for an intern and can be learned through manuals and guidance. The tasks are primarily technical and procedural, with limited scope for institutional judgment or complex stakeholder interactions. Dominant: Technical. Also present: Social (team collaboration). Absent: Cognitive.",0,85,"Assist in collecting, processing, and analyzing large datasets","The tasks involve following established procedures and using standard data analysis tools, which a novice can perform under guidance. The role is primarily procedural with a focus on data processing and reporting. Dominant: Technical (individual/local). Also present: Social (cross-functional collaboration). Absent: Cognitive.",0,85,"Assist in collecting, processing, and analyzing large datasets","The role involves procedural tasks such as data collection and processing, which can be guided by a manual. The intern is expected to follow established methods and tools for data analysis, which are codifiable. While collaboration with cross-functional teams is required, it is within a structured framework. Dominant: Technical (individual/local). Also present: Social (team collaboration). Absent: Cognitive.",0,85,"Assist in collecting, processing, and analyzing large datasets",The role involves tasks that are largely procedural and can be performed by following established methods and tools. A well-trained newcomer with access to documentation and some mentoring can effectively perform these tasks. Dominant: Technical (local tools). Also present: Social (team collaboration). Absent: Cognitive.,4344849495
2,89,"Leading strategic transformation: strategy A3 development, annual VSA, 3-year strategic roadmap.","The role involves leading strategic transformation and developing roadmaps, which require deep institutional judgment and cannot be fully captured in a manual. The position also requires coaching leaders and working across enterprise functions, indicating significant social tacit knowledge. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,89,"Leading strategic transformation: strategy A3 development, annual VSA, 3-year strategic roadmap","The role involves leading strategic transformation initiatives and coaching leaders using operational excellence principles, which require deep institutional judgment and experience. These tasks cannot be fully codified into manuals, indicating a need for mastery and strategic oversight. Dominant: Cognitive (institutional strategy). Also present: Social (cross-functional collaboration), Technical (operations processes). Absent: none.",2,89,"Leading strategic transformation: strategy A3 development, annual VSA, 3-year strategic roadmap.","The role requires leading strategic transformation and coaching leaders, which involves significant cognitive and social tacit knowledge that cannot be fully documented. The need to work across various enterprise functions and identify high-value digitization opportunities further emphasizes the requirement for deep institutional judgment and experience. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,89,"Leading strategic transformation: strategy A3 development, annual VSA, 3-year strategic roadmap.","The role involves leading strategic transformation and coaching leaders, which requires significant experience-based judgment and institutional knowledge. The tasks are open-ended and involve high-level strategic planning that cannot be fully captured by manuals. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",378029146400000000002
2,89,Partner and consult with business leaders to understand strategic goals,"The role requires translating strategic goals into data science initiatives, which involves significant institutional judgment and cannot be fully captured in a manual. The need to communicate insights to both technical and non-technical stakeholders indicates a high level of social tacit knowledge. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,89,"work with senior leaders to uncover insights, solve complex problems","The role involves strategic judgment and problem-solving at an institutional level, beyond codifiable tasks. It requires navigating complex interactions with senior leaders and designing novel data-driven solutions to strategic goals. Dominant: Cognitive (institutional strategy). Also present: Social (stakeholder communication), Technical (advanced statistical techniques). Absent: none.",2,89,"work with senior leaders to uncover insights, solve complex problems","The role requires navigating complex problems and strategic opportunities, which involves significant cognitive judgment and experience that cannot be fully documented. The need to partner with business leaders and communicate insights to both technical and non-technical stakeholders indicates a high level of social interaction and influence. Technical skills are also crucial, but the cognitive and social dimensions dominate due to the strategic and leadership aspects. Dominant: Cognitive. Also ",2,89,Partner and consult with business leaders to understand strategic goals,"The role requires translating strategic goals into data science initiatives, which involves significant cognitive judgment and experience. The need to lead complex solutions and communicate with diverse stakeholders indicates a high level of social skill. Technical expertise is also crucial for implementing advanced statistical techniques and machine learning models. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",4266804699
1,82,Assume ownership of current CFO Data Management controls,"The role involves managing data controls and collaborating with various teams, which requires some institutional judgment and experience. However, the tasks are largely structured around existing frameworks and methodologies, suggesting a strong junior could eventually manage with guidance. Dominant: Technical. Also present: Social. Absent: Cognitive.",1,85,Assume ownership of current CFO Data Management controls,"The role involves ownership and development of data controls, requiring some judgment beyond procedural tasks, but largely within a structured framework. Advanced technical skills are needed for data analysis, but these are codifiable and tool-dependent. Strong analytical and problem-solving skills are emphasized, but the strategic element is limited. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,87,Assume ownership of current CFO Data Management controls,"The role requires ownership and development of complex data management controls, which involves significant domain expertise and judgment that cannot be fully captured in a manual. The need to work under minimal supervision and create solutions under tight deadlines further indicates a high level of cognitive and technical tacit knowledge. Dominant: Cognitive. Also present: Technical, Social. Absent: none.",2,87,Assume ownership of current CFO Data Management controls,"The role requires ownership and creative solutions under tight deadlines, indicating a need for accumulated wisdom beyond procedural knowledge. The ability to unwind SQL and ETL layers and manage relationships with diverse partners suggests significant cognitive and social demands. Dominant: Cognitive. Also present: Technical, Social. Absent: none.",3849484253
1,83,Analyze current and historical data to identify fraud trends,"The role involves analyzing data to identify fraud trends and supporting fraud prevention strategies, which requires some institutional judgment but is largely bounded by established methodologies. The need for technical skills and quantitative analysis suggests a strong technical component, while relationship management and stakeholder influence indicate a social dimension. Dominant: Technical. Also present: Social, Cognitive. Absent: none.",2,87,"Develop strategic direction for risk, including up-to-date methodologies","The role requires developing strategic direction for risk and involves significant institutional judgment in fraud strategy, which cannot be fully captured in a manual. It also involves analyzing complex data trends and influencing decision-making, which suggests deep domain expertise. Dominant: Cognitive (institutional strategy). Also present: Technical (quantitative analysis), Social (stakeholder relationship management). Absent: none.",2,87,"Development of strategic direction for risk, including implementation of up-to-date methodologies","The role requires developing strategic direction and managing risk, which involves significant cognitive judgment and experience that cannot be fully captured in a manual. The need to influence decision-making and manage relationships with stakeholders further indicates a high level of social tacit knowledge. Technical skills are also necessary but are not the primary focus. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,89,"Develop strategic direction for risk, including implementation of up-to-date methodologies","The role requires developing strategic directions and managing risk, which involves unscripted judgment and accumulated wisdom beyond procedural knowledge. The need to influence decision-making and manage relationships with stakeholders further emphasizes the importance of cognitive and social skills. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",4057717402
1,83,"Leads project discovery, requirements definition, metrics analysis","The role involves strategic leadership and planning, which requires some institutional judgment, but it is bounded by defined methodologies and cross-functional coordination. The technical aspects are significant but not beyond a strong junior's potential with guidance. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",1,83,"Leads project discovery, requirements definition, metrics analysis","The role involves substantial coordination and leadership in cross-functional teams with defined goals, requiring some institutional judgment. However, the structured nature of data management and privacy compliance limits the need for deep tacit knowledge. Dominant: Technical (data systems, privacy compliance). Also present: Social (cross-functional coordination). Absent: Cognitive (institutional strategy).",2,87,"Leads project discovery, requirements definition, metrics analysis","The role requires strategic leadership and planning, which involves navigating complex, cross-functional projects and developing novel strategies for data management and privacy compliance. These tasks demand seasoned judgment and institutional knowledge that cannot be fully captured in a manual. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,89,"Leads project discovery, requirements definition, metrics analysis","The role requires strategic leadership and planning, which involves unscripted judgment and cross-functional coordination that cannot be fully captured by documentation. The need to manage global data privacy compliance and develop strategies for AI and machine learning further indicates a reliance on accumulated wisdom. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",3868987645
0,85,Experience in programming language Java and understanding of the software development life cycle,The role is entry-level and focuses on technical skills that are codifiable and can be learned through structured education and training. The emphasis on programming languages and SDLC indicates a procedural focus suitable for a novice with a complete manual. Dominant: Technical (individual/local). Also present: Social (communication skills). Absent: Cognitive.,0,85,Experience in programming language Java and understanding of the software development life cycle,"The role is for entry-level software programmers with a focus on technical skills and project work. The tasks are procedural and well-bounded by existing methodologies such as SDLC, which a novice can learn and apply. Dominant: Technical (local tools). Also present: Social (communication skills). Absent: Cognitive.",0,85,Experience in programming language Java and understanding of the software development life cycle,"The role is designed for entry-level candidates with a focus on technical skills and project work, which can be learned through structured training and manuals. The emphasis on recent graduates and skill enhancement suggests that a novice with the right educational background and training can succeed. Dominant: Technical. Also present: Social. Absent: Cognitive.",0,85,"entry-level software programmers, Java Full stack developers","The roles are entry-level and focus on technical skills and project work, which can be learned through training and documentation. The emphasis is on acquiring technical competencies rather than exercising unscripted judgment or navigating complex social dynamics. Dominant: Technical. Also present: Social (communication skills). Absent: Cognitive.",4083593288
